"PROJECTCODE","PROJECTNAME","PROJECTFULLNAME"
"CR|PJ033","DEV_INT_WAREHOUSE MANAGEMENT","DEV_INT_WAREHOUSE MANAGEMENT(CR|PJ033)"
"CR|PJ085","IMP_INT_SAPB1DEMOSYSTEM","IMP_INT_SAPB1DEMOSYSTEM(CR|PJ085)"
"CR|PJ016","BUTTER SUPPLY","BUTTER SUPPLY(CR|PJ016)"
"CR|PJ098","DEV_DRLSERVICE CATALOG","DEV_DRLSERVICE CATALOG(CR|PJ098)"
"CR|PJ025","DEV_CHC_SAP BI IMPLEMENTATION & REPORT CONVERSION","DEV_CHC_SAP BI IMPLEMENTATION & REPORT CONVERSION(CR|PJ025)"
"CR|PJ048","AMC_DRL_BREAKDOWN MAINTENANCE","AMC_DRL_BREAKDOWN MAINTENANCE(CR|PJ048)"
"CR|PJ039","DEV_INT_TRACKER UI5","DEV_INT_TRACKER UI5(CR|PJ039)"
"CR|PJ051","AMC_DRL_FACILITY MAINTENANCE","AMC_DRL_FACILITY MAINTENANCE(CR|PJ051)"
"CR|PJ041","DEV_INT_CEMR","DEV_INT_CEMR(CR|PJ041)"
"CR|PJ182","AMC21_SANOFI_AHU FILTER MAINTENANCE MANAGEMENT SOLUTION","AMC21_SANOFI_AHU FILTER MAINTENANCE MANAGEMENT SOLUTION(CR|PJ182)"
"CR|PJ047","DEV_DRL_VIKRETA","DEV_DRL_VIKRETA(CR|PJ047)"
"CRPJ096","DEV_NOBELBIOCARE_SALE ORDER PROCESSING","DEV_NOBELBIOCARE_SALE ORDER PROCESSING(CRPJ096)"
"CR|PJ049","DEV_DRL_CHANGE CONTROL MANAGEMENT (T&M)","DEV_DRL_CHANGE CONTROL MANAGEMENT (T&M)(CR|PJ049)"
"CR|PJ050","DEV_DRL_CTO CALIBRATION","DEV_DRL_CTO CALIBRATION(CR|PJ050)"
"CR|PJ044","DEV_INT_PLANNING DASHBOARD","DEV_INT_PLANNING DASHBOARD(CR|PJ044)"
"CR|PJ045","DEV_INT_INVENTORY MANAGEMENT","DEV_INT_INVENTORY MANAGEMENT(CR|PJ045)"
"CR|PJ053","DEV_DRL_PMS (T&M)","DEV_DRL_PMS (T&M)(CR|PJ053)"
"CR|PJ054","AMC_ENCORE_SAP B1 SUPPORT","AMC_ENCORE_SAP B1 SUPPORT(CR|PJ054)"
"CR|PJ078","DEV_SUNSET_VPN CONFIGURATION","DEV_SUNSET_VPN CONFIGURATION(CR|PJ078)"
"CR|PJ013","IMP_ANANDWAN_IHMS- SAP B1 IMPLEMENTATION","IMP_ANANDWAN_IHMS- SAP B1 IMPLEMENTATION(CR|PJ013)"
"CR|PJ057","IMP_PANDYA HOSPITAL_IPD-SAP B1","IMP_PANDYA HOSPITAL_IPD-SAP B1(CR|PJ057)"
"CR|PJ058","IMP_PANDYA HOSPITAL_OPD-SAP B1","IMP_PANDYA HOSPITAL_OPD-SAP B1(CR|PJ058)"
"CR|PJ059","IMP_PANDYA HOSPITAL_SMART CARD","IMP_PANDYA HOSPITAL_SMART CARD(CR|PJ059)"
"CR|PJ038","DEV_INT_WEBSITE UPGRADE","DEV_INT_WEBSITE UPGRADE(CR|PJ038)"
"CR|PJ036","DEV_INT_INTERNAL INFRASTRUCTURE SERVICES","DEV_INT_INTERNAL INFRASTRUCTURE SERVICES(CR|PJ036)"
"CR|PJ046","IMP_DELAVAL_SAP B1 IMPLEMENTATION","IMP_DELAVAL_SAP B1 IMPLEMENTATION(CR|PJ046)"
"CR|PJ233","AMC21_ENCORE_SAP B1 SUPPORT","AMC21_ENCORE_SAP B1 SUPPORT(CR|PJ233)"
"CR|PJ037","DEV_INT_MY INBOX","DEV_INT_MY INBOX(CR|PJ037)"
"CR|PJ040","DEV_INT_DYNAMIC MODELING","DEV_INT_DYNAMIC MODELING(CR|PJ040)"
"CR|PJ035","DEV_INT_CFSM","DEV_INT_CFSM(CR|PJ035)"
"CR|PJ042","DEV_INT_IHMS DEVELOPMENT","DEV_INT_IHMS DEVELOPMENT(CR|PJ042)"
"CR|PJ043","DEV_INT_APPROVAL APPS","DEV_INT_APPROVAL APPS(CR|PJ043)"
"CR|PJ026","DEV_INT_DYNAMIC CONNECT","DEV_INT_DYNAMIC CONNECT(CR|PJ026)"
"CR|PJ011","DEV_ADANI-GE_SOLAR DASHBOARD APP","DEV_ADANI-GE_SOLAR DASHBOARD APP(CR|PJ011)"
"CR|PJ094","DEV_CINTAS_LISTINGANDEXCLUSION","DEV_CINTAS_LISTINGANDEXCLUSION(CR|PJ094)"
"CR|PJ014","DEV_AWC_TRACKER","DEV_AWC_TRACKER(CR|PJ014)"
"CR|PJ027","DEV_INT_RENTAL MASS MAINTENANCE","DEV_INT_RENTAL MASS MAINTENANCE(CR|PJ027)"
"CR|PJ017","DEV_CHC_HEALTHCARE DEVELOPMENT","DEV_CHC_HEALTHCARE DEVELOPMENT(CR|PJ017)"
"CR|PJ018","DEV_CHC_DATA CONVERSION","DEV_CHC_DATA CONVERSION(CR|PJ018)"
"CR|PJ019","DEV_CHC_CONCUR INTEGRATION","DEV_CHC_CONCUR INTEGRATION(CR|PJ019)"
